video Id,Video Name,Channel,Comment,Like Count,Reply Count,Commented Date
YGQBm9Mnad8,Cinematic Watch Product Video Commercial Example | Rolex Timex Omega Samsung Apple Jewelry Amazon Ad,Accelerated Video,"Hi there! Are you looking for a voice artist who can bring your project to life with captivating and engaging vocals? Look no further! With years of experience in the industry, I am a talented and versatile voice artist ready to lend my voice to your project. Whether you need a professional and polished tone for corporate presentations, a warm and friendly voice for commercials, or a character-filled voice for animations and video games, I have the skills to deliver. I pride myself on my ability to interpret scripts and deliver them with the right tone and emotion to create a lasting impact. So, let&#39;s collaborate and make your project stand out with my exceptional voice talent.",0,2,2024-06-25T18:52:24Z
YGQBm9Mnad8,Cinematic Watch Product Video Commercial Example | Rolex Timex Omega Samsung Apple Jewelry Amazon Ad,Accelerated Video,love it,1,1,2024-06-02T11:50:11Z
YGQBm9Mnad8,Cinematic Watch Product Video Commercial Example | Rolex Timex Omega Samsung Apple Jewelry Amazon Ad,Accelerated Video,Who software you use,1,1,2024-05-12T14:03:25Z
YGQBm9Mnad8,Cinematic Watch Product Video Commercial Example | Rolex Timex Omega Samsung Apple Jewelry Amazon Ad,Accelerated Video,What is the name of this cinematic video  style?,0,1,2024-04-24T04:01:59Z
YGQBm9Mnad8,Cinematic Watch Product Video Commercial Example | Rolex Timex Omega Samsung Apple Jewelry Amazon Ad,Accelerated Video,Please make some videos on how to edit like you,1,1,2024-04-17T06:29:40Z
YGQBm9Mnad8,Cinematic Watch Product Video Commercial Example | Rolex Timex Omega Samsung Apple Jewelry Amazon Ad,Accelerated Video,Which editor do uh use,0,1,2022-12-28T18:50:59Z
YGQBm9Mnad8,Cinematic Watch Product Video Commercial Example | Rolex Timex Omega Samsung Apple Jewelry Amazon Ad,Accelerated Video,How much for a video like this? I have the 3d model in .blend,1,1,2022-10-13T13:53:44Z
YGQBm9Mnad8,Cinematic Watch Product Video Commercial Example | Rolex Timex Omega Samsung Apple Jewelry Amazon Ad,Accelerated Video,What&#39;s the background music name,0,1,2021-09-04T11:07:08Z
YGQBm9Mnad8,Cinematic Watch Product Video Commercial Example | Rolex Timex Omega Samsung Apple Jewelry Amazon Ad,Accelerated Video,Amazing video! can I ask the music used??,0,1,2021-06-21T13:10:57Z
YGQBm9Mnad8,Cinematic Watch Product Video Commercial Example | Rolex Timex Omega Samsung Apple Jewelry Amazon Ad,Accelerated Video,It would been awesome if you can teach us how to make this stuff !! Btw amazing work Accelerated Video !,2,1,2021-04-23T15:44:12Z
YGQBm9Mnad8,Cinematic Watch Product Video Commercial Example | Rolex Timex Omega Samsung Apple Jewelry Amazon Ad,Accelerated Video,Beautiful work! Love it!,1,2,2021-01-27T23:12:26Z
YGQBm9Mnad8,Cinematic Watch Product Video Commercial Example | Rolex Timex Omega Samsung Apple Jewelry Amazon Ad,Accelerated Video,"Great product video, really well done. Could you kindly let us know the song/music used in the video? Thanks",1,1,2021-01-10T21:20:00Z
YGQBm9Mnad8,Cinematic Watch Product Video Commercial Example | Rolex Timex Omega Samsung Apple Jewelry Amazon Ad,Accelerated Video,That&#39;s one sexy commercial for a sexy watch. Great Video!,0,1,2021-01-03T18:16:50Z
YGQBm9Mnad8,Cinematic Watch Product Video Commercial Example | Rolex Timex Omega Samsung Apple Jewelry Amazon Ad,Accelerated Video,Hi,0,1,2020-12-28T03:15:00Z
CBxgZxjdJyk,CINEMATIC PRODUCT VIDEO | Go Good Drinks,Lauren Roberts,please give me the project file,0,0,2024-05-25T20:05:56Z
CBxgZxjdJyk,CINEMATIC PRODUCT VIDEO | Go Good Drinks,Lauren Roberts,God I miss these so bad,0,0,2024-04-18T11:11:59Z
CBxgZxjdJyk,CINEMATIC PRODUCT VIDEO | Go Good Drinks,Lauren Roberts,So good 👍,0,0,2024-04-11T11:26:56Z
CBxgZxjdJyk,CINEMATIC PRODUCT VIDEO | Go Good Drinks,Lauren Roberts,you are so damn talented!!!,0,0,2023-12-20T22:10:17Z
CBxgZxjdJyk,CINEMATIC PRODUCT VIDEO | Go Good Drinks,Lauren Roberts,What app did you use? Thanks,1,0,2023-08-18T17:30:11Z
CBxgZxjdJyk,CINEMATIC PRODUCT VIDEO | Go Good Drinks,Lauren Roberts,My respects!,0,0,2023-05-30T16:06:51Z
CBxgZxjdJyk,CINEMATIC PRODUCT VIDEO | Go Good Drinks,Lauren Roberts,"Good audio editing btw, &amp; Practical Commercial also <br>keep it up..",1,0,2022-06-12T09:57:36Z
CBxgZxjdJyk,CINEMATIC PRODUCT VIDEO | Go Good Drinks,Lauren Roberts,"Great job, Roberts.",1,0,2022-01-23T07:55:54Z
CBxgZxjdJyk,CINEMATIC PRODUCT VIDEO | Go Good Drinks,Lauren Roberts,Lauren this is badass!,1,0,2021-06-20T07:57:16Z
CBxgZxjdJyk,CINEMATIC PRODUCT VIDEO | Go Good Drinks,Lauren Roberts,It’s crazy to know my old teacher made these!,1,0,2021-04-27T17:50:56Z
CBxgZxjdJyk,CINEMATIC PRODUCT VIDEO | Go Good Drinks,Lauren Roberts,music?,1,1,2021-04-17T05:33:52Z
CBxgZxjdJyk,CINEMATIC PRODUCT VIDEO | Go Good Drinks,Lauren Roberts,"nice,,",1,0,2021-04-01T07:15:12Z
CBxgZxjdJyk,CINEMATIC PRODUCT VIDEO | Go Good Drinks,Lauren Roberts,Very nice,1,0,2021-03-23T03:13:05Z
CBxgZxjdJyk,CINEMATIC PRODUCT VIDEO | Go Good Drinks,Lauren Roberts,Bravo! 👏,1,0,2021-03-21T03:49:05Z
CBxgZxjdJyk,CINEMATIC PRODUCT VIDEO | Go Good Drinks,Lauren Roberts,"Great video, Lauren!! I&#39;d like to see your BTS (Behind The Scenes)... like, to understand the intro with the cans spinning, lights setup, background, edit process :-) you&#39;d be a great youtuber providing these contents.. comparable to Daniel Schiffer and so on!",5,1,2021-03-05T09:10:56Z
CBxgZxjdJyk,CINEMATIC PRODUCT VIDEO | Go Good Drinks,Lauren Roberts,Nice! Good job! I like it =),2,0,2021-02-08T06:49:05Z
CBxgZxjdJyk,CINEMATIC PRODUCT VIDEO | Go Good Drinks,Lauren Roberts,🔥🔥So good!,5,0,2021-01-26T19:33:51Z
CBxgZxjdJyk,CINEMATIC PRODUCT VIDEO | Go Good Drinks,Lauren Roberts,that&#39;s a cool product commercial! Well done :-),2,0,2021-01-08T14:03:31Z
CBxgZxjdJyk,CINEMATIC PRODUCT VIDEO | Go Good Drinks,Lauren Roberts,Wow awesome,2,0,2020-12-26T20:52:41Z
CBxgZxjdJyk,CINEMATIC PRODUCT VIDEO | Go Good Drinks,Lauren Roberts,well done!,1,0,2020-12-17T13:51:04Z
CBxgZxjdJyk,CINEMATIC PRODUCT VIDEO | Go Good Drinks,Lauren Roberts,I’m subscribing straight up!,3,0,2020-12-16T11:19:07Z
CBxgZxjdJyk,CINEMATIC PRODUCT VIDEO | Go Good Drinks,Lauren Roberts,Nice work!!,2,0,2020-12-16T00:14:28Z
CBxgZxjdJyk,CINEMATIC PRODUCT VIDEO | Go Good Drinks,Lauren Roberts,"Ok wow, this is so sick!",5,0,2020-12-12T12:28:35Z
CBxgZxjdJyk,CINEMATIC PRODUCT VIDEO | Go Good Drinks,Lauren Roberts,finally a female filmmaker,2,0,2020-10-25T01:30:23Z
CBxgZxjdJyk,CINEMATIC PRODUCT VIDEO | Go Good Drinks,Lauren Roberts,"really nice and clean shot, i will try aswell",2,0,2020-10-23T13:02:34Z
CBxgZxjdJyk,CINEMATIC PRODUCT VIDEO | Go Good Drinks,Lauren Roberts,"I like this video so much! Please, Upload your videos consistently 😘",3,0,2020-10-02T11:18:32Z
CBxgZxjdJyk,CINEMATIC PRODUCT VIDEO | Go Good Drinks,Lauren Roberts,"Really like your videos, well done!",2,1,2020-07-04T13:35:26Z
h1JDjiyoIM4,Raw Honey | Merlion Naturals | Product Commercial | Cinematic Lighting,Factual World,❤❤❤❤❤❤❤❤,0,1,2024-07-12T08:52:24Z
h1JDjiyoIM4,Raw Honey | Merlion Naturals | Product Commercial | Cinematic Lighting,Factual World,What is the name of the software you used,0,1,2024-06-07T15:04:40Z
h1JDjiyoIM4,Raw Honey | Merlion Naturals | Product Commercial | Cinematic Lighting,Factual World,Good morning 🌄,1,1,2024-04-14T08:47:45Z
h1JDjiyoIM4,Raw Honey | Merlion Naturals | Product Commercial | Cinematic Lighting,Factual World,Can I have your contact information??,0,1,2024-03-01T19:37:21Z
h1JDjiyoIM4,Raw Honey | Merlion Naturals | Product Commercial | Cinematic Lighting,Factual World,you created the music too ?,0,1,2024-01-09T19:49:56Z
h1JDjiyoIM4,Raw Honey | Merlion Naturals | Product Commercial | Cinematic Lighting,Factual World,"Hello sir, we need a video like this for our product. Is it possible to send you the photos in order to replace it in this video or to make a new one maybe? Is that possible? You will be paid of course( if the price is ok for us because we&#39;re still in the beginning).. thank you!",4,3,2023-09-01T01:39:27Z
h1JDjiyoIM4,Raw Honey | Merlion Naturals | Product Commercial | Cinematic Lighting,Factual World,"hello sir , loved your work. can i use this video as my portfolio ?!",1,3,2023-05-15T15:32:24Z
h1JDjiyoIM4,Raw Honey | Merlion Naturals | Product Commercial | Cinematic Lighting,Factual World,This is really good man,5,1,2022-12-28T20:00:01Z
h1JDjiyoIM4,Raw Honey | Merlion Naturals | Product Commercial | Cinematic Lighting,Factual World,What are the lenses used for this commercial  ?,2,3,2022-11-19T09:33:37Z
h1JDjiyoIM4,Raw Honey | Merlion Naturals | Product Commercial | Cinematic Lighting,Factual World,this is sick bro,7,1,2022-10-07T11:04:26Z
h1JDjiyoIM4,Raw Honey | Merlion Naturals | Product Commercial | Cinematic Lighting,Factual World,can somebody teach all of this.,4,3,2022-08-02T19:03:26Z
ZwnXW_7fzk0,Watch product video for Easycase,Welpix,❤Me gusta,0,0,2024-01-20T20:53:14Z
ZwnXW_7fzk0,Watch product video for Easycase,Welpix,Me gusta,0,0,2024-01-20T18:55:39Z
ZwnXW_7fzk0,Watch product video for Easycase,Welpix,Me gusta,0,0,2024-01-19T21:35:53Z
ZwnXW_7fzk0,Watch product video for Easycase,Welpix,Hermosos Me Gustan 😍,0,0,2024-01-19T21:13:27Z
ZwnXW_7fzk0,Watch product video for Easycase,Welpix,❤,0,0,2024-01-18T20:59:28Z
ZwnXW_7fzk0,Watch product video for Easycase,Welpix,Excellent,0,0,2024-01-17T19:58:31Z
ZwnXW_7fzk0,Watch product video for Easycase,Welpix,Excelente máquinaria en relojería lo recomiendo,1,0,2024-01-17T19:55:55Z
ZwnXW_7fzk0,Watch product video for Easycase,Welpix,Me gusta,1,0,2024-01-17T18:58:53Z
ZwnXW_7fzk0,Watch product video for Easycase,Welpix,Me gusta,1,0,2024-01-07T15:22:31Z
ZwnXW_7fzk0,Watch product video for Easycase,Welpix,Excelente promoción,1,0,2024-01-07T15:22:15Z
ZwnXW_7fzk0,Watch product video for Easycase,Welpix,Exelente me gusta 😊,2,0,2024-01-07T15:13:04Z
ZwnXW_7fzk0,Watch product video for Easycase,Welpix,me encanta,1,0,2024-01-07T14:45:58Z
ZwnXW_7fzk0,Watch product video for Easycase,Welpix,Beautiful,1,0,2023-12-24T19:49:34Z
ZwnXW_7fzk0,Watch product video for Easycase,Welpix,Me gusta,1,0,2023-12-22T16:30:35Z
ZwnXW_7fzk0,Watch product video for Easycase,Welpix,Super,1,0,2022-12-03T23:18:51Z
ZwnXW_7fzk0,Watch product video for Easycase,Welpix,Nice,0,1,2022-11-07T23:28:07Z
ZwnXW_7fzk0,Watch product video for Easycase,Welpix,Very nice 🙂,1,1,2022-10-12T06:29:30Z
